sa2_name_2016, yr, labour_force_status_persons_aged_15_years_census_employed_num, sa2_maincode_2016
"Macedon",2016,1583,"210021233"
"Coburg North",2016,3537,"210031236"
"Endeavour Hills - South",2016,6136,"212021454"
"Fawkner",2016,4842,"210031237"
"Ringwood North",2016,4821,"211031268"
"Pascoe Vale",2016,11483,"210031239"
"Glenroy",2016,9226,"210031438"
"Hadfield",2016,2136,"210031440"
"Gowanbrae",2016,1433,"210031439"
"Broadmeadows",2016,3838,"210051242"
"Meadow Heights",2016,4308,"210051247"
"Campbellfield - Coolaroo",2016,4215,"210051243"
"Gladstone Park - Westmeadows",2016,8073,"210051245"
"Melbourne Airport",2016,58,"210051248"
"Belgrave - Selby",2016,5241,"211051274"
"Greenvale - Bulla",2016,8237,"210051246"
"Roxburgh Park - Somerton",2016,7428,"210051249"
"Craigieburn - West",2016,5961,"210051444"
"Craigieburn - Central",2016,3596,"210051441"
"Knoxfield - Scoresby",2016,7366,"211011254"
"Craigieburn - South",2016,7244,"210051443"
"Mickleham - Yuroke",2016,1730,"210051445"
"Bayswater",2016,5760,"211011251"
"Lysterfield",2016,3702,"211011255"
"Rowville - North",2016,4191,"211011257"
"Cranbourne East",2016,11913,"212031301"
"Rowville - Central",2016,8123,"211011256"
"Boronia",2016,10694,"211011446"
"Ferntree Gully (North)",2016,6691,"211011447"
"Cranbourne South",2016,4509,"212031303"
"Croydon Hills - Warranwood",2016,9840,"211031265"
"Ferntree Gully (South) - Upper Ferntree Gully",2016,7590,"211011448"
"Ringwood",2016,8159,"211031266"
"Ringwood East",2016,9948,"211031267"
"The Basin",2016,2245,"211011449"
"Donvale - Park Orchards",2016,7642,"211021261"
"Bayswater North",2016,6139,"211031263"
"Croydon - East",2016,7306,"211031450"
"Croydon - West",2016,6179,"211031451"
"Croydon South",2016,2323,"211031452"
"Forest Hill",2016,4772,"211041269"
"Cranbourne West",2016,7257,"212031304"
"Mitcham (Vic.)",2016,8196,"211041270"
"Nunawading",2016,5602,"211041271"
"Lilydale - Coldstream",2016,9332,"211051278"
"Vermont",2016,4894,"211041272"
"Monbulk - Silvan",2016,2785,"211051279"
"Vermont South",2016,5289,"211041273"
"Chirnside Park",2016,5040,"211051275"
"Healesville - Yarra Glen",2016,6333,"211051276"
"Kilsyth",2016,4292,"211051277"
"Montrose",2016,3383,"211051280"
"Yarra Valley",2016,7249,"211051286"
"Mooroolbark",2016,11182,"211051281"
"Mount Dandenong - Olinda",2016,4940,"211051282"
"Beaconsfield - Officer",2016,7053,"212011287"
"Bunyip - Garfield",2016,4191,"212011288"
"Emerald - Cockatoo",2016,9111,"212011289"
"Koo Wee Rup",2016,3541,"212011290"
"Mount Evelyn",2016,5023,"211051283"
"Cranbourne",2016,8643,"212031300"
"Berwick - North",2016,11022,"212021293"
"Berwick - South",2016,12630,"212021294"
"Doveton",2016,3819,"212021295"
"Upwey - Tecoma",2016,5217,"211051284"
"Wandin - Seville",2016,4010,"211051285"
"Pakenham - North",2016,8590,"212011291"
"Hallam",2016,4455,"212021297"
"Pakenham - South",2016,12545,"212011292"
"Narre Warren North",2016,3919,"212021299"
"Narre Warren - North East",2016,6648,"212021455"
"Narre Warren - South West",2016,6365,"212021456"
"Cranbourne North",2016,9343,"212031302"
"Hampton Park - Lynbrook",2016,10605,"212031305"
"Lynbrook - Lyndhurst",2016,7151,"212031306"
"Narre Warren South (East)",2016,6605,"212031457"
"Narre Warren South (West)",2016,7608,"212031458"
"Dandenong",2016,10741,"212041311"
"Clarinda - Oakleigh South",2016,5321,"212041309"
"Clayton South",2016,5407,"212041310"
"Dandenong North",2016,8881,"212041312"
"Dingley Village",2016,5136,"212041313"
"Noble Park North",2016,3063,"212041316"
"Keysborough",2016,11846,"212041314"
"Springvale",2016,8099,"212041317"
"Springvale South",2016,5123,"212041318"
"Noble Park - East",2016,5350,"212041459"
"Noble Park - West",2016,7204,"212041460"
"Ashwood - Chadstone",2016,8500,"212051319"
"Clayton",2016,7896,"212051320"
"Glen Waverley - East",2016,8935,"212051321"
"Glen Waverley - West",2016,8372,"212051322"
"Mount Waverley - North",2016,6894,"212051323"
"Mount Waverley - South",2016,8308,"212051324"
"Mulgrave",2016,8813,"212051325"
"Ardeer - Albion",2016,3219,"213011328"
"Oakleigh - Huntingdale",2016,10070,"212051326"
"Wheelers Hill",2016,8778,"212051327"
"Cairnlea",2016,4375,"213011329"
"Delahey",2016,3587,"213011331"
"Deer Park - Derrimut",2016,10888,"213011330"
"St Albans - North",2016,6961,"213011334"
"Keilor Downs",2016,5851,"213011332"
"Kings Park (Vic.)",2016,4945,"213011333"
"St Albans - South",2016,6093,"213011335"
"Sunshine",2016,4120,"213011336"
"Sydenham",2016,5606,"213011339"
"Sunshine North",2016,4412,"213011337"
"Taylors Lakes",2016,9089,"213011340"
"Sunshine West",2016,6963,"213011338"
"Altona",2016,6025,"213021341"
"Altona North",2016,5601,"213021343"
"Newport",2016,9381,"213021344"
"Seabrook",2016,2416,"213021345"
"Williamstown",2016,7559,"213021346"
"Melton",2016,7612,"213041356"
"Seddon - Kingsville",2016,5019,"213031350"
"Braybrook",2016,7802,"213031347"
"Melton South",2016,9624,"213041357"
"Melton West",2016,7637,"213041358"
"Footscray",2016,8246,"213031348"
